Entry	Entry name	Gene names	Ensembl transcript
Q8NET5	NFAM1_HUMAN	NFAM1 CNAIP	ENST00000329021;
Q16621	NFE2_HUMAN	NFE2	ENST00000312156;ENST00000435572;ENST00000540264;ENST00000553070;
P07196	NFL_HUMAN	NEFL NF68 NFL	ENST00000610854;
P22392	NDKB_HUMAN	NME2 NM23B	ENST00000393190 [P22392-1];ENST00000503064 [P22392-1];ENST00000512737 [P22392-1];ENST00000513177 [P22392-1];ENST00000514264 [P22392-1];
Q15843	NEDD8_HUMAN	NEDD8	ENST00000250495;
P80188	NGAL_HUMAN	LCN2 HNL NGAL	ENST00000277480 [P80188-1];ENST00000373017 [P80188-1];
Q8TCU5	NMD3A_HUMAN	GRIN3A KIAA1973	ENST00000361820;
O60391	NMD3B_HUMAN	GRIN3B	ENST00000234389;
Q9Y3T9	NOC2L_HUMAN	NOC2L NIR	ENST00000327044;
Q9Y314	NOSIP_HUMAN	NOSIP CGI-25	ENST00000596358;
Q9UM47	NOTC3_HUMAN	NOTCH3	ENST00000263388;
O75469	NR1I2_HUMAN	NR1I2 PXR	ENST00000337940 [O75469-7];ENST00000638727 [O75469-4];ENST00000640105 [O75469-1];
P56975	NRG3_HUMAN	NRG3	ENST00000372141 [P56975-4];ENST00000372142 [P56975-3];ENST00000404547 [P56975-1];
O14786	NRP1_HUMAN	NRP1 NRP VEGF165R	ENST00000265371 [O14786-1];ENST00000374821 [O14786-3];ENST00000374822 [O14786-2];ENST00000374867 [O14786-1];
O60462	NRP2_HUMAN	NRP2 VEGF165R2	ENST00000272849;ENST00000417189;
O96028	NSD2_HUMAN	NSD2 KIAA1090 MMSET TRX5 WHSC1	ENST00000312087 [O96028-3];ENST00000353275 [O96028-3];ENST00000382888 [O96028-2];ENST00000382891 [O96028-1];ENST00000382892 [O96028-1];ENST00000382895 [O96028-1];ENST00000398261 [O96028-3];ENST00000420906 [O96028-5];ENST00000436793 [O96028-7];ENST00000503128 [O96028-3];ENST00000508803 [O96028-1];ENST00000512700 [O96028-7];ENST00000514045 [O96028-5];
Q15738	NSDHL_HUMAN	NSDHL H105E3	ENST00000370274;ENST00000440023;
Q96CB9	NSUN4_HUMAN	NSUN4	ENST00000474844 [Q96CB9-1];ENST00000537428 [Q96CB9-4];
Q9Y5A7	NUB1_HUMAN	NUB1 NYREN18	ENST00000355851;ENST00000566856;
Q16795	NDUA9_HUMAN	NDUFA9 NDUFS2L	ENST00000266544;
Q9P0J0	NDUAD_HUMAN	NDUFA13 GRIM19 CDA016 CGI-39	ENST00000507754 [Q9P0J0-1];
Q9Y6M9	NDUB9_HUMAN	NDUFB9 LYRM3 UQOR22	ENST00000276689;
Q7L592	NDUF7_HUMAN	NDUFAF7 C2orf56 PRO1853	ENST00000002125 [Q7L592-1];ENST00000336237 [Q7L592-2];
O00217	NDUS8_HUMAN	NDUFS8	ENST00000313468;
P19404	NDUV2_HUMAN	NDUFV2	ENST00000318388;
O76041	NEBL_HUMAN	NEBL LNEBL	ENST00000377122 [O76041-1];ENST00000417816 [O76041-2];
P20929	NEBU_HUMAN	NEB	ENST00000172853 [P20929-1];ENST00000397345 [P20929-2];ENST00000409198 [P20929-4];ENST00000427231 [P20929-3];ENST00000603639 [P20929-2];ENST00000604864 [P20929-3];
P29120	NEC1_HUMAN	PCSK1 NEC1	ENST00000311106 [P29120-1];ENST00000508626 [P29120-2];
Q8NHV4	NEDD1_HUMAN	NEDD1	ENST00000266742 [Q8NHV4-1];ENST00000411739 [Q8NHV4-2];ENST00000429527 [Q8NHV4-1];ENST00000457368 [Q8NHV4-2];ENST00000557644 [Q8NHV4-3];
